visuals\learn\DomainFeaturesPrimitive.tsx || 52:70 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\DropoutBNPrimitive.tsx || 34:35 || react-hooks/exhaustive-deps || React Hook useEffect has a missing dependency: 'regen'. Either include it or remove the de
visuals\learn\DropoutBNPrimitive.tsx || 35:34 || react-hooks/exhaustive-deps || React Hook useEffect has a missing dependency: 'draw'. Either include it or remove the dep
visuals\learn\DropoutBNPrimitive.tsx || 135:21 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\DropoutBNPrimitive.tsx || 135:98 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\DuplicateDataPrimitive.tsx || 55:8 || react-hooks/exhaustive-deps || React Hook useEffect has missing dependencies: 'pctA', 'pctB', and 'totalB'. Either includ
visuals\learn\EigenvectorsPrimitive.tsx || 4:10 || @typescript-eslint/no-unused-vars || 'motion' is defined but never used.
visuals\learn\EigenvectorsPrimitive.tsx || 174:8 || react-hooks/exhaustive-deps || React Hook useCallback has missing dependencies: 'OX', 'OY', 'drawGrid', and 'drawTransfor
visuals\learn\EnsembleMethodsPrimitive.tsx || 49:21 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\EnsembleMethodsPrimitive.tsx || 49:103 || react/no-unescaped-entities || `"` can be escaped with `&quot;`, `&ldquo;`, `&#34;`, `&rdquo;`.
visuals\learn\EnsembleMethodsPrimitive.tsx || 55:67 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
visuals\learn\EnsembleMethodsPrimitive.tsx || 56:103 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
visuals\learn\EnsembleMethodsPrimitive.tsx || 56:187 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
visuals\learn\EnsembleMethodsPrimitive.tsx || 56:251 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
visuals\learn\EnsembleMethodsPrimitive.tsx || 65:147 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
visuals\learn\EnsembleMethodsPrimitive.tsx || 121:135 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
visuals\learn\EnsembleMethodsPrimitive.tsx || 122:92 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
visuals\learn\EnsembleMethodsPrimitive.tsx || 130:95 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
visuals\learn\EnsembleMethodsPrimitive.tsx || 138:92 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
visuals\learn\EnsembleMethodsPrimitive.tsx || 138:165 || @typescript-eslint/no-explicit-any || Unexpected any. Specify a different type.
visuals\learn\EnsembleMethodsPrimitive.tsx || 139:78 || react/jsx-no-comment-textnodes || Comments inside children section of tag should be placed inside braces
visuals\learn\ExponentialDistributionPrimitive.tsx || 4:10 || @typescript-eslint/no-unused-vars || 'motion' is defined but never used.
visuals\learn\ExponentialDistributionPrimitive.tsx || 4:18 || @typescript-eslint/no-unused-vars || 'AnimatePresence' is defined but never used.
visuals\learn\ExponentialDistributionPrimitive.tsx || 149:17 || @typescript-eslint/no-unused-expressions || Expected an assignment or function call and instead saw an expression.
visuals\learn\ExponentialDistributionPrimitive.tsx || 187:17 || @typescript-eslint/no-unused-expressions || Expected an assignment or function call and instead saw an expression.
